name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation,:@computed_region_cbhk_fwbd,:@computed_region_nnqa_25f4
Meester-Cornelis,15470,Valid,H5,24750.0,Fell,1915-01-01T00:00:00.000,-6.23333,106.88333,"{'latitude': '-6.23333', 'longitude': '106.88333'}",,
Menow,15485,Valid,H4,10500.0,Fell,1862-01-01T00:00:00.000,53.18333,13.15,"{'latitude': '53.18333', 'longitude': '13.15'}",,
Menziswyl,15486,Valid,L5,28.9,Fell,1903-01-01T00:00:00.000,46.81867,7.21817,"{'latitude': '46.81867', 'longitude': '7.21817'}",,
Mern,15489,Valid,L6,4000.0,Fell,1878-01-01T00:00:00.000,55.05,12.06667,"{'latitude': '55.05', 'longitude': '12.06667'}",,
Meru,15491,Valid,LL6,6000.0,Fell,1945-01-01T00:00:00.000,0.0,37.66667,"{'latitude': '0.0', 'longitude': '37.66667'}",,
Merua,15492,Valid,H5,71400.0,Fell,1920-01-01T00:00:00.000,25.48333,81.98333,"{'latitude': '25.48333', 'longitude': '81.98333'}",,
Messina,15495,Valid,L5,2405.0,Fell,1955-01-01T00:00:00.000,38.18333,15.56667,"{'latitude': '38.18333', 'longitude': '15.56667'}",,
Meuselbach,16626,Valid,L6,870.0,Fell,1897-01-01T00:00:00.000,50.58333,11.1,"{'latitude': '50.58333', 'longitude': '11.1'}",,
Mezel,16627,Valid,L6,1300.0,Fell,1949-01-01T00:00:00.000,45.76667,3.25,"{'latitude': '45.76667', 'longitude': '3.25'}",,
Mezö-Madaras,16628,Valid,L3.7,22700.0,Fell,1852-01-01T00:00:00.000,46.5,25.73333,"{'latitude': '46.5', 'longitude': '25.73333'}",,
Mhow,16629,Valid,L6,350.0,Fell,1827-01-01T00:00:00.000,25.9,83.61667,"{'latitude': '25.9', 'longitude': '83.61667'}",,
Mianchi,16631,Valid,H5,1100.0,Fell,1980-01-01T00:00:00.000,34.8,111.7,"{'latitude': '34.8', 'longitude': '111.7'}",,
